title,genre,director,rating
Tamasha,Tamasha is about the journey of someone who has lost his edge in trying to follow acceptable conventions of society. The film is based on the central theme of abrasion and loss of self that...                See full summary »,Imtiaz Ali,7.3
Chehre,"An 80-year-old man with a penchant for real life games in a story about rights and wrongs. It's a story about the decisions one makes in their lifetime and the fact that every decision has its repercussions, hearing and judgment.",Rumi Jaffery,6.5
Chhapaak,"The trials and triumphs of Malti, an acid attack survivor. From the investigation of the attack to the court proceedings, the medical treatment to the emotional healing. Chhapaak is the story of the unquashable human spirit.",Meghna Gulzar,5.3
Jaane Tu... Ya Jaane Na,Two best friends being convinced that they are not in love search for each other's love.,Abbas Tyrewala,7.4
Kaabil,A blind man seeks revenge against a corrupt politician and his brother after his wife is raped and killed.,Sanjay Gupta,7.1
Dhoom:2,"Mr A, a fearless thief, steals valuable artefacts and teams up with the girl he is attracted to but who cannot be trusted. Close on their heels are three police officers trying to apprehend them.",Sanjay Gadhvi,6.5
Rustom,"A naval officer returns home to find out about his wife's affair. Soon, he surrenders after murdering the lover but as the case unfolds, it starts to reveal his hidden intention.",Dharmendra Suresh Desai,7.0
Bhool Bhulaiyaa,"An NRI and his wife decide to stay in his ancestral home, paying no heed to the warnings about ghosts. Soon, inexplicable occurrences cause him to call a psychiatrist to help solve the mystery.",Priyadarshan,7.4
Bhoot Police,Two brothers whose job is to hunt and eradicate ghosts for money is assigned a project in a remote village,Pawan Kripalani,7.2
Haseen Dillruba,"Under investigation as a suspect in her husband's murder, a wife reveals details of their thorny marriage that seem to only further blur the truth.",Vinil Mathew,6.9
Kapoor & Sons,The story about two brothers who visit their dysfunctional family for their grandfather's birthday party.,Shakun Batra,7.7
Monsoon Wedding,"A stressed father, a bride-to-be with a secret, a smitten event planner, and relatives from around the world create much ado about the preparations for an arranged marriage in India.",Mira Nair,7.3
Bodyguard,The daughter of a wealthy nobleman secretly falls in love with her bodyguard.,Siddique,4.6
2 States,This movie chronicles how Chetan met his wife and the difficulties they faced due to their cultural differences.,Abhishek Varman,6.9
Sarfarosh,"After his brother is killed and father severely injured by terrorists, a young med student quits his studies to join the Indian Police Service to wipe out the terrorists.",John Mathew Matthan,8.1
